Player Id,This week,Last week,End 2020,Ctry,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date,
22259,506,499,806,ESP,Alejandro,Del,0.2427,9.71,40,-1.3,5.96,19,23,6th June 2021,
9041,507,493,380,KOR,Hosung,Tora,0.2416,10.15,42,-9.99,-,42,23,6th June 2021,
20637,508,1878,1894,JPN,Yuki,Furukawa,0.24,9.6,40,-,9.6,9,23,6th June 2021,
15314,509,503,575,JPN,Yuwa,Kosaihira,0.2397,12.46,52,-4.15,4.64,58,23,6th June 2021,
6149,510,494,600,DEN,Soren,Kjeldsen,0.239,11.23,47,-5.28,7.14,47,23,6th June 2021,
16160,511,657,1845,KOR,Younghan,Song,0.2388,9.55,40,-0.07,9.55,8,23,6th June 2021,
13344,511,500,408,ENG,Matthew,Baldwin,0.2388,12.18,51,-6.46,-,51,23,6th June 2021,
21235,513,495,523,USA,Anders,Albertson,0.2385,10.02,42,-3.85,2.2,42,23,6th June 2021,
4163,514,498,499,ENG,Luke,Donald,0.2383,10.01,42,-5.98,4.74,42,23,6th June 2021,
24200,515,505,1588,AUS,Elvis,Smylie,0.2381,9.53,40,-0.6,9.31,8,23,6th June 2021,
20428,516,564,506,SWE,Joakim,Wikstrom,0.2367,9.47,40,-2.9,1.33,32,23,6th June 2021,
19738,517,497,458,USA,Kevin,Dougherty,0.2362,11.34,48,-5.47,3.03,48,23,6th June 2021,
9903,518,506,531,NZL,Josh,Geary,0.2347,9.39,40,-6.91,5.82,27,23,6th June 2021,
16400,518,502,515,ENG,Garrick,Porteous,0.2347,11.27,48,-3.32,3.73,48,23,6th June 2021,
6252,520,515,406,AUS,Aaron,Baddeley,0.2326,10,43,-9.55,4.31,43,23,6th June 2021,
26190,521,512,768,MEX,Alvaro,Ortiz,0.2321,9.28,40,-2.2,6,16,23,6th June 2021,
13127,522,508,363,USA,Kevin,Tway,0.2317,11.12,48,-12.39,1.56,48,23,6th June 2021,
17362,522,515,864,ITA,Jacopo,Vecchi,0.2317,9.27,40,-1.13,6,25,23,6th June 2021,
17346,524,507,483,CHN,Bai,Bobby,0.2313,9.25,40,-5.65,2.8,40,23,6th June 2021,
6304,525,511,634,RSA,Jean,Hugo,0.2298,9.19,40,-4.48,5.74,35,23,6th June 2021,
5942,526,517,763,RSA,Hennie,Otto,0.2288,9.15,40,-2.77,6.18,40,23,6th June 2021,
14397,527,522,698,RSA,Anthony,Michael,0.2275,9.1,40,-3.13,5.58,38,23,6th June 2021,
18915,528,509,389,NIR,Cormac,Sharvin,0.2272,11.36,50,-8.87,3.17,50,23,6th June 2021,
7105,529,518,555,RSA,Jaco,Van,0.2268,9.07,40,-4.97,3.61,38,23,6th June 2021,
20780,530,521,498,KOR,Minkyu,Kim(March2001),0.2263,9.05,40,-3.52,1.28,36,23,6th June 2021,
18239,531,519,436,USA,Austen,Truslow,0.2261,9.04,40,-4.63,-,28,23,6th June 2021,
7109,532,514,343,THA,Prom,Meesawat,0.2256,9.02,40,-9.59,-,29,23,6th June 2021,
6950,533,525,634,GER,Marcel,Siem,0.2252,9.01,40,-2.53,3.6,39,23,6th June 2021,
23449,534,531,1894,KOR,Dongeun,Kim,0.225,9,40,-,9,10,23,6th June 2021,
21507,535,513,317,FRA,Robin,Roussel,0.2247,11.23,50,-11.5,-,50,23,6th June 2021,
22897,536,523,477,IND,Veer,Ahlawat,0.2245,8.98,40,-4.48,1.2,25,23,6th June 2021,
7340,537,524,453,CAN,David,Hearn,0.224,11.2,50,-6.19,2.3,50,23,6th June 2021,
