Player Id,This week,Last week,End 2020,Ctry,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date,
18580,68,68,81,USA,Talor,Gooch,1.9134,99.5,52,-29.35,48.58,55,24,13th June 2021,
9771,69,70,43,AUS,Jason,Day,1.8813,88.42,47,-47.96,20.28,47,24,13th June 2021,
15330,70,69,63,USA,Lanto,Griffin,1.864,96.93,52,-41.18,35.13,63,24,13th June 2021,
11952,71,71,126,RSA,Branden,Grace,1.8536,96.39,52,-30.84,59.77,56,24,13th June 2021,
14013,72,74,103,USA,Cameron,Tringale,1.8375,91.87,50,-22.47,51.03,50,24,13th June 2021,
12808,73,72,156,ARG,Emiliano,Grillo,1.8203,94.66,52,-23.27,63.82,58,24,13th June 2021,
13872,74,73,131,USA,Keegan,Bradley,1.8111,94.18,52,-30.77,59.87,53,24,13th June 2021,
14509,75,75,64,USA,Joel,Dahmen,1.7494,90.97,52,-41.48,32.52,56,24,13th June 2021,
18770,76,76,120,FRA,Antoine,Rozner,1.7298,89.95,52,-24.1,46.81,54,24,13th June 2021,
15326,77,78,58,ENG,Andy,Sullivan,1.7007,79.93,47,-33.55,13.57,47,24,13th June 2021,
19190,78,77,114,JPN,Rikuya,Hoshino,1.6861,67.44,40,-25.67,33.33,39,24,13th June 2021,
11019,79,80,122,USA,Brendan,Steele,1.6694,78.46,47,-24.4,40.09,47,24,13th June 2021,
15193,80,81,152,RSA,Daniel,van,1.6666,70,42,-17.87,39.53,42,24,13th June 2021,
16602,81,79,130,USA,Harold,Varner,1.647,85.65,52,-26.97,47.78,54,24,13th June 2021,
18524,82,85,99,USA,John,Catlin,1.6361,81.8,50,-24.18,29.76,50,24,13th June 2021,
15473,83,83,62,USA,Adam,Long,1.6154,84,52,-40.56,13.77,63,24,13th June 2021,
15004,83,82,74,USA,Chan,Kim,1.6154,64.61,40,-27.24,21.13,39,24,13th June 2021,
19729,85,84,123,JPN,Takumi,Kanaya,1.6075,64.3,40,-15.6,26.53,22,24,13th June 2021,
